ADDISON ST,4TH ST,3,Y
ADDISON ST,5TH ST,3,Y
ADDISON ST,6TH ST,3,Y
ADDISON ST,6TH ST,4,Y
ADDISON ST,ACTON ST,3,Y
ADDISON ST,BOLIVAR DR,4,Y
ADDISON ST,BOLIVAR DR,3,Y
ADDISON ST,BONAR ST,3,Y
ADDISON ST,BYRON ST,0,Y
ADDISON ST,BYRON ST,0,Y
ADDISON ST,CALIFORNIA ST,3,Y
ADDISON ST,CALIFORNIA ST,4,Y
ADDISON ST,JEFFERSON AV,2,Y
ADDISON ST,MILVIA ST,3,Y
ADDISON ST,MILVIA ST,3,Y
ADDISON ST,MILVIA ST,4,Y
ADDISON ST,MILVIA ST,4,Y
ADDISON ST,MLK JR WY,3,Y
ADDISON ST,MLK JR WY,2,Y
ADDISON ST,MLK JR WY,4,Y
ADDISON ST,SAN PABLO AV,3,Y
ADDISON ST,SHATTUCK AV,3,Y
ADDISON ST,SHATTUCK AV,3,Y
ADELINE  ST,ALCATRAZ AV,3,Y
ADELINE  ST,ASHBY AV,3,Y
ADELINE  ST,ASHBY AV,3,Y
ADELINE  ST,ESSEX ST,3,Y
ADELINE  ST,HARMON ST,4,Y
ADELINE  ST,OREGON ST,3,Y
ADELINE  ST,WOOLSEY ST,2,Y
ADELINE ST,62ND ST,2,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,2,Y
ADELINE ST,ALCATRAZ AV,4,Y
ADELINE ST,ALCATRAZ AV,0,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ALCATRAZ AV,3,Y
ADELINE ST,ASHBY AV,4,Y
ADELINE ST,ASHBY AV,2,Y
ADELINE ST,ASHBY AV,4,Y
ADELINE ST,ASHBY AV,3,Y
ADELINE ST,ASHBY AV,3,Y
ADELINE ST,ASHBY AV,4,Y
ADELINE ST,FAIRVIEW ST,3,Y
ADELINE ST,FAIRVIEW ST,4,Y
ADELINE ST,FAIRVIEW ST,4,Y
ADELINE ST,HARMON ST,4,Y
ADELINE ST,HARMON ST,4,Y
ADELINE ST,HARMON ST,2,Y
ADELINE ST,HARMON ST,2,Y
ADELINE ST,HARMON ST,2,Y
ADELINE ST,HARMON ST,3,Y
ADELINE ST,HARMON ST,4,Y
ADELINE ST,HARMON ST,4,Y
ADELINE ST,MLK JR WY,4,Y
ADELINE ST,OREGON ST,3,Y
ADELINE ST,OREGON ST,4,Y
ADELINE ST,RUSSELL ST,3,Y
ADELINE ST,RUSSELL ST,3,Y
ADELINE ST,RUSSELL ST,4,Y
ADELINE ST,STUART ST,3,Y
ADELINE ST,WOOLSEY ST,3,Y
ADELINE ST,WOOLSEY ST,3,Y
ADELINE ST,WOOLSEY ST,3,Y
ADELINE ST,WOOLSEY ST,3,Y
ADELINE ST,WOOLSEY ST,4,Y
ADELLE ST,HARMON ST,4,Y
ALCATRAZ AV,ADELINE  ST,0,Y
ALCATRAZ AV,ADELINE  ST,3,Y
ALCATRAZ AV,ADELINE  ST,3,Y
ALCATRAZ AV,ADELINE  ST,3,Y
ALCATRAZ AV,ADELINE  ST,3,Y
ALCATRAZ AV,ADELINE ST,4,Y
ALCATRAZ AV,ADELINE ST,3,Y
ALCATRAZ AV,ADELINE ST,3,Y
ALCATRAZ AV,ADELINE ST,3,Y
ALCATRAZ AV,ADELINE ST,4,Y
ALCATRAZ AV,COLLEGE AV,4,Y
ALCATRAZ AV,DOVER ST,4,Y
ALCATRAZ AV,DOVER ST,4,Y
ALCATRAZ AV,ELLIS ST,3,Y
ALCATRAZ AV,ELLIS ST,3,Y
ALCATRAZ AV,IDAHO ST,3,Y
ALCATRAZ AV,IDAHO ST,4,Y
ALCATRAZ AV,KING ST,3,Y
ALCATRAZ AV,KING ST,3,Y
ALCATRAZ AV,SACRAMENTO ST,4,Y
ALCATRAZ AV,SACRAMENTO ST,4,Y
ALCATRAZ AV,SACRAMENTO ST,3,Y
ALCATRAZ AV,SACRAMENTO ST,4,Y
ALCATRAZ AV,SHATTUCK AV,4,Y
ALLSTON WY,10TH ST,3,Y
ALLSTON WY,5TH ST,4,Y
ALLSTON WY,6TH ST,0,Y
ALLSTON WY,7TH ST,3,Y
ALLSTON WY,9TH ST,3,Y
ALLSTON WY,BYRON ST,3,Y
ALLSTON WY,CALIFORNIA ST,4,Y
ALLSTON WY,CALIFORNIA ST,3,Y
ALLSTON WY,CALIFORNIA ST,3,Y
ALLSTON WY,FULTON ST,4,Y
ALLSTON WY,GRANT ST,3,Y
ALLSTON WY,GRANT ST,3,Y
ALLSTON WY,MCGEE AV,3,Y
ALLSTON WY,MCGEE AV,4,Y
ALLSTON WY,MILVIA ST,4,Y
ALLSTON WY,MILVIA ST,3,Y
ALLSTON WY,MILVIA ST,4,Y
ALLSTON WY,MILVIA ST,3,Y
ALLSTON WY,MILVIA ST,3,Y
